query_id,iter,status,ours_count,rls_count,error
1,1,ok,0,0,
1,2,ok,0,0,
1,3,ok,0,0,
1,4,ok,0,0,
1,5,ok,0,0,
1,6,ok,0,0,
1,7,ok,0,0,
1,8,ok,0,0,
1,9,ok,0,0,
1,10,ok,0,0,
1,11,ok,0,0,
1,12,ok,0,0,
1,13,ok,0,0,
1,14,ok,0,0,
1,15,ok,0,0,
1,16,ok,0,0,
1,17,ok,0,0,
1,18,ok,0,0,
1,19,ok,0,0,
1,20,ok,0,0,
2,1,ok,0,0,
2,2,ok,0,0,
2,3,ok,0,0,
2,4,ok,0,0,
2,5,ok,0,0,
2,6,ok,0,0,
2,7,ok,0,0,
2,8,ok,0,0,
2,9,ok,0,0,
2,10,ok,0,0,
2,11,ok,0,0,
2,12,ok,0,0,
2,13,ok,0,0,
2,14,ok,0,0,
2,15,ok,0,0,
2,16,ok,0,0,
2,17,ok,0,0,
2,18,ok,0,0,
2,19,ok,0,0,
2,20,ok,0,0,
3,1,ok,0,0,
3,2,ok,0,0,
3,3,ok,0,0,
3,4,ok,0,0,
3,5,ok,0,0,
3,6,ok,0,0,
3,7,ok,0,0,
3,8,ok,0,0,
3,9,ok,0,0,
3,10,ok,0,0,
3,11,ok,0,0,
3,12,ok,0,0,
3,13,ok,0,0,
3,14,ok,0,0,
3,15,ok,0,0,
3,16,ok,0,0,
3,17,ok,0,0,
3,18,ok,0,0,
3,19,ok,0,0,
3,20,ok,0,0,
4,1,ok,0,0,
4,2,ok,0,0,
4,3,ok,0,0,
4,4,ok,0,0,
4,5,ok,0,0,
4,6,ok,0,0,
4,7,ok,0,0,
4,8,ok,0,0,
4,9,ok,0,0,
4,10,ok,0,0,
4,11,ok,0,0,
4,12,ok,0,0,
4,13,ok,0,0,
4,14,ok,0,0,
4,15,ok,0,0,
4,16,ok,0,0,
4,17,ok,0,0,
4,18,ok,0,0,
4,19,ok,0,0,
4,20,ok,0,0,
5,1,ok,0,0,
5,2,ok,0,0,
5,3,ok,0,0,
5,4,ok,0,0,
5,5,ok,0,0,
5,6,ok,0,0,
5,7,ok,0,0,
5,8,ok,0,0,
5,9,ok,0,0,
5,10,ok,0,0,
5,11,ok,0,0,
5,12,ok,0,0,
