db,policy_set,policy_ids,query_id,rls_status,rls_error,rls_count,rls_hash,view_status,view_error,view_count,view_hash,count_match,hash_match,match
tpch0_1,S_A,"1,2,3,4,5",1,ok,,2,6b23519e9bb6976fc8207bcb897b2800,ok,,2,6b23519e9bb6976fc8207bcb897b2800,1,1,1
tpch0_1,S_A,"1,2,3,4,5",3,ok,,311,5db592aa190655620ba81ec9a3cc3d4c,ok,,311,5db592aa190655620ba81ec9a3cc3d4c,1,1,1
tpch0_1,S_A,"1,2,3,4,5",6,ok,,1,20c82b47b7d063d653bdf9fbc14c23a2,ok,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,1,1
tpch0_1,S_A,"1,2,3,4,5",10,ok,,1307,6bf0e52f111ad9380880a72c21732711,ok,,1307,6bf0e52f111ad9380880a72c21732711,1,1,1
tpch0_1,S_A,"1,2,3,4,5",11,ok,,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,ok,,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,1,1,1
tpch0_1,S_A,"1,2,3,4,5",13,ok,,37,7590ec7055e099a850b01dde0049b951,ok,,37,7590ec7055e099a850b01dde0049b951,1,1,1
tpch0_1,S_A,"1,2,3,4,5",22,ok,,7,2128e7251299ad57dcae8e45ad4d723b,ok,,7,2128e7251299ad57dcae8e45ad4d723b,1,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",1,ok,,2,6b23519e9bb6976fc8207bcb897b2800,ok,,2,6b23519e9bb6976fc8207bcb897b2800,1,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",3,ok,,0,d41d8cd98f00b204e9800998ecf8427e,ok,,0,d41d8cd98f00b204e9800998ecf8427e,1,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",6,ok,,1,20c82b47b7d063d653bdf9fbc14c23a2,ok,,1,20c82b47b7d063d653bdf9fbc14c23a2,1,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",10,ok,,0,d41d8cd98f00b204e9800998ecf8427e,ok,,0,d41d8cd98f00b204e9800998ecf8427e,1,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",11,ok,,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,ok,,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,1,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",13,ok,,0,d41d8cd98f00b204e9800998ecf8427e,ok,,0,d41d8cd98f00b204e9800998ecf8427e,1,1,1
tpch0_1,S_B,"1,2,3,4,5,6,7,8,9,10",22,ok,,0,d41d8cd98f00b204e9800998ecf8427e,ok,,0,d41d8cd98f00b204e9800998ecf8427e,1,1,1
tpch0_1,S_C,"11,12,13,14,15",1,ok,,4,5648e438ce9d1ec381b6870f4253123d,ok,,4,c597aea35f5b7f41955f29067c464ff4,1,0,0
tpch0_1,S_C,"11,12,13,14,15",3,ok,,39,82750b347a724b91d1ddd1d476d920c3,ok,,39,82750b347a724b91d1ddd1d476d920c3,1,1,1
tpch0_1,S_C,"11,12,13,14,15",6,ok,,1,02fa9379bc6ff9aa5d3f232ef309ae4b,ok,,1,d8531f25ad97a8d00607c18ce093157b,1,0,0
tpch0_1,S_C,"11,12,13,14,15",10,ok,,461,d8e37995a13fee14cb377c07a5d3c1c0,ok,,461,d8e37995a13fee14cb377c07a5d3c1c0,1,1,1
tpch0_1,S_C,"11,12,13,14,15",11,ok,,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,ok,,2753,01f8a66ea3fbf9afeb43876e3f41c6b0,1,1,1
tpch0_1,S_C,"11,12,13,14,15",13,ok,,23,b5d1f5376abf74fb041b8e33b80925ca,ok,,23,b5d1f5376abf74fb041b8e33b80925ca,1,1,1
tpch0_1,S_C,"11,12,13,14,15",22,ok,,7,83bc995168ba104e267a9b7e441605da,ok,,7,83bc995168ba104e267a9b7e441605da,1,1,1
